Locality,Population
Accomack,33164
Albemarle,98970
Alleghany,16250
Amelia,12690
Amherst,32353
Appomattox,14973
Arlington,207627
Augusta,73750
Bath,4731
Bedford,68676
Bland,6824
Botetourt,33148
Brunswick,17434
Buchanan,24098
Buckingham,17146
Campbell,54842
Caroline,28545
Carroll,30042
Charles City,7256
Charlotte,12586
Chesterfield,316236
Clarke,14034
Craig,5190
Culpeper,46689
Cumberland,10052
Dickenson,15903
Dinwiddie,28001
Essex,11151
Fairfax,1081726
Fauquier,65203
Floyd,15279
Fluvanna,25691
Franklin County,56159
Frederick,78305
Giles,17286
Gloucester,36858
Goochland,21717
Grayson,15533
Greene,18403
Greensville,12243
Halifax,36241
Hanover,99863
Henrico,306935
Henry,54151
Highland,2321
Isle of Wight,35270
James City,67009
King and Queen,6945
King George,23584
King William,15935
Lancaster,11391
Lee,25587
Loudoun,312311
Louisa,33153
Lunenburg,12914
Madison,13308
Mathews,8978
Mecklenburg,32727
Middlesex,10959
Montgomery,94392
Nelson,15020
New Kent,18429
Northampton,12389
Northumberland,12330
Nottoway,15853
Orange,33481
Page,24042
Patrick,18490
Pittsylvania,63506
Powhatan,28046
Prince Edward,23368
Prince George,35725
Prince William,402002
Pulaski,34872
Rappahannock,7373
Richmond County,9254
Roanoke County,92376
Rockbridge,22307
Rockingham,76314
Russell,28897
Scott,23177
Shenandoah,41993
Smyth,32208
Southampton,18570
Spotsylvania,122397
Stafford,128961
Surry,7058
Sussex,12087
Tazewell,45078
Warren,37575
Washington,54876
Westmoreland,17454
Wise,41452
Wythe,29235
York,65464
Alexandria,139966
Bristol,17835
Buena Vista City,6650
Charlottesville,43475
Chesapeake,222209
Colonial Heights,17411
Covington,5961
Danville,43055
Emporia,5927
Fairfax City,22565
Falls Church,12332
Franklin City,8582
Fredericksburg,24286
Galax,7042
Hampton,137436
Harrisonburg,48914
Hopewell,22591
Lexington,7042
Lynchburg,75568
Manassas City,37821
Manassas Park,14273
Martinsville,13821
Newport News,180719
Norfolk,242803
Norton,3958
Petersburg,32420
Poquoson,12150
Portsmouth,95535
Radford,16408
Richmond City,204214
Roanoke City,97032
Salem,24802
Staunton,23746
Suffolk,84585
Virginia Beach,437994
Waynesboro,21006
Williamsburg,14068
Winchester,26203